code_commune,nom_commune,epci_siren,epci_nom,epci_type,population,taux_chomage,revenu_median,total_etablissements,nb_actifs,nb_fermes,taux_mortalite,densite_commerciale
59202,ERQUINGHEM-LYS,200093201,Métropole Européenne de Lille,METRO,5341.0,7.36,9870.0,150,47,103,68.66666666666667,8.799850215315484
59203,ERRE,245901152,CA Coeur d'Ostrevent,CA,1586.0,9.5,,43,13,30,69.76744186046511,8.19672131147541
59204,ESCARMAIN,245901038,CC du Pays Solesmois,CC,479.0,8.24,,11,3,8,72.72727272727273,6.263048016701462
59205,ESCAUDAIN,200042190,CA de la Porte du Hainaut,CA,9039.0,21.14,7840.0,263,123,140,53.2319391634981,13.607699966810488
59206,ESCAUDOEUVRES,200068500,CA de Cambrai,CA,3171.0,19.15,8470.0,117,51,66,56.41025641025641,16.08325449385052
59207,ESCAUTPONT,200042190,CA de la Porte du Hainaut,CA,4202.0,27.35,8570.0,81,37,44,54.32098765432099,8.805330794859591
59208,ESCOBECQUES,200093201,Métropole Européenne de Lille,METRO,302.0,3.61,,6,2,4,66.66666666666666,6.622516556291391
59209,ESNES,200068500,CA de Cambrai,CA,656.0,16.22,,10,2,8,80.0,3.048780487804878
59210,ESQUELBECQ,200040954,CC des Hauts de Flandre,CC,2137.0,7.59,10990.0,50,22,28,56.00000000000001,10.294805802526907
59211,ESQUERCHIN,200044618,CA Douaisis Agglo,CA,893.0,11.25,,20,8,12,60.0,8.958566629339305
59212,ESTAIRES,245900758,CC Flandre Lys,CC,6525.0,11.46,9620.0,247,112,135,54.655870445344135,17.164750957854405
